City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
yulara,90,CK,1567633128,57,-21.21,-159.78,77.0,19.46
vila,0,RU,1567633128,68,51.2,49.73,53.51,5.7
luanda,75,ET,1567633128,87,8.96,38.73,60.8,2.24
kaitangata,0,FR,1567633128,76,45.06,5.82,71.01,5.82
kralendijk,20,US,1567632926,54,42.65,-73.75,81.0,17.22
marovoay,100,PF,1567633128,73,-23.12,-134.97,73.31,4.43
san patricio,48,MG,1567633129,84,-25.17,45.06,68.09,11.83
sao filipe,90,RU,1567633129,85,69.3,139.9,38.21,2.51
port hardy,0,RU,1567633129,55,49.76,43.65,56.93,8.68
agadez,90,US,1567633129,93,60.79,-161.76,55.4,21.92
hay river,20,PT,1567633130,73,38.52,-28.7,73.4,13.87
chernyy yar,100,ZA,1567633130,88,-33.02,27.91,56.21,3.89
meulaboh,75,CA,1567633130,82,54.77,-101.88,55.4,4.7
venice,26,BR,1567633130,33,-20.63,-46.0,79.25,2.55
sampit,90,CA,1567633130,93,50.2,-66.38,53.01,9.17
lanivtsi,40,SV,1567633131,66,13.25,-88.25,96.8,6.93
myingyan,75,AU,1567633131,75,-42.88,147.33,44.01,8.05
charters towers,26,AU,1567633131,69,-33.64,115.35,35.01,10.16
beloha,100,NZ,1567633131,97,-46.19,168.86,48.0,4.83
manokwari,20,US,1567633132,43,39.31,-74.98,91.99,11.41
hilo,90,EC,1567633132,88,-1.7,-77.97,69.8,8.05
rio grande,65,ZA,1567633132,93,-34.42,19.24,59.0,21.5
vaini,0,BR,1567633132,22,-15.4,-42.86,85.73,10.38
mackay,94,IN,1567633133,94,30.78,78.62,42.53,1.99
leningradskiy,5,IT,1567633133,88,45.65,11.78,70.0,1.12
fergus falls,20,IT,1567633133,88,40.38,17.36,77.0,6.93
shimoda,93,KI,1567633133,73,3.07,172.79,82.85,3.0
camocim,75,MU,1567633133,88,-20.41,57.7,72.0,5.82
busselton,29,AU,1567633134,29,-23.58,149.07,65.21,5.06
vostok,0,ZA,1567633134,71,-33.93,18.42,59.0,23.04
luderitz,75,CA,1567633134,82,65.28,-126.83,55.4,8.05
boende,99,RU,1567633134,78,66.77,123.37,36.41,5.41
jadu,0,CL,1567633135,74,-53.16,-70.91,42.8,5.82
calabozo,16,MM,1567633135,86,21.46,95.39,77.99,8.14
inuvik,75,US,1567632853,62,64.84,-147.72,61.0,5.82
hirado,0,RU,1567633135,45,68.75,161.3,47.39,5.06
coihaique,100,NZ,1567633135,68,-46.28,169.85,51.01,7.0
turbiv,0,GL,1567633135,75,60.14,-45.24,42.71,9.98
kutum,0,FR,1567633136,82,48.95,4.24,62.6,6.93
